trace_row,agent,token,phase,paper,train_predict_py
2,data_downloader,declare_envelope,01_data_analysis,agent-tracing (resource envelope),—
3,schema-sentinel,declare_envelope,01_data_analysis,agent-tracing (resource envelope),—
4,eda_profiler,declare_envelope,01_data_analysis,agent-tracing (resource envelope),—
5,well_group_detector,declare_envelope,01_data_analysis,agent-tracing (resource envelope),—
6,target_diagnostician,declare_envelope,01_data_analysis,agent-tracing (resource envelope),—
7,feature_engineer,declare_envelope,03_feature_engineering,agent-tracing (resource envelope),—
8,preprocessor,declare_envelope,03_feature_engineering,agent-tracing (resource envelope),—
9,cv_orchestrator,declare_envelope,03_feature_engineering,agent-tracing (resource envelope),—
10,model_trainer,declare_envelope,04_model_training,agent-tracing (resource envelope),—
11,model_ensembler,declare_envelope,04_model_training,agent-tracing (resource envelope),—
12,predictor,declare_envelope,04_model_training,agent-tracing (resource envelope),—
13,oof_evaluator,declare_envelope,05_evaluation,agent-tracing (resource envelope),—
14,error_analyzer,declare_envelope,05_evaluation,agent-tracing (resource envelope),—
15,submission_formatter,declare_envelope,06_submission,agent-tracing (resource envelope),—
16,submission_validator,declare_envelope,06_submission,agent-tracing (resource envelope),—
17,kaggle_submitter,declare_envelope,06_submission,agent-tracing (resource envelope),—
18,seed-control-officer,declare_envelope,02_statistical_framework,agent-tracing (resource envelope),—
19,experiment-design-architect,declare_envelope,02_statistical_framework,agent-tracing (resource envelope),—
20,architecture-decision-recorder,declare_envelope,02_statistical_framework,agent-tracing (resource envelope),—
21,dependency-graph-orchestrator,declare_envelope,02_statistical_framework,agent-tracing (resource envelope),—
22,seed-control-officer,pin_seed,02_statistical_framework,agent-tracing (experiment design),SeedControlOfficer.pin_seed (agents.py; train_tcn.py)
22,experiment-design-architect,design_factorial_and_episodic_training,02_statistical_framework,agent-tracing (experiment design),ExperimentDesignArchitect.design_factorial_and_episodic_training
22,architecture-decision-recorder,record_initial_adr,02_statistical_framework,agent-tracing (experiment design),ADRRecorder.record_initial_adr
22,dependency-graph-orchestrator,add_task,02_statistical_framework,agent-tracing (experiment design),DependencyGraphOrchestrator.add_node
23,dependency-graph-orchestrator,add_dep,02_statistical_framework,agent-tracing (experiment design),DependencyGraphOrchestrator.add_node
24,dependency-graph-orchestrator,topological_order,02_statistical_framework,agent-tracing (experiment design),DependencyGraphOrchestrator
25,dependency-graph-orchestrator,dispatch,02_statistical_framework,agent-tracing (experiment design),DependencyGraphOrchestrator
26,dependency-graph-orchestrator,bind_producers_to_type3_consumers,02_statistical_framework,agent-tracing (experiment design),Type3ConsumerGate (trace_executor)
27,data_downloader,kaggle --version,01_data_analysis,— (infrastructure),— (shell; not in train_predict.py)
28,schema-sentinel,type3_consumer_bound_data_downloader_after_cli,01_data_analysis,agent-tracing (Type-3 audit),Type3ConsumerGate (agents.py) / trace_executor.execute_step
29,data_downloader,cd /lustre/work/sweeden/rogii && kaggle competitions download -c rogii-wellbore-geology-prediction -p data/ -q,01_data_analysis,— (infrastructure),— (shell; not in train_predict.py)
30,schema-sentinel,type3_consumer_bound_data_downloader_after_cli,01_data_analysis,agent-tracing (Type-3 audit),Type3ConsumerGate (agents.py) / trace_executor.execute_step
31,data_downloader,cd /lustre/work/sweeden/rogii && unzip -o data/rogii-wellbore-geology-prediction.zip -d data/,01_data_analysis,— (infrastructure),— (shell; not in train_predict.py)
32,schema-sentinel,type3_consumer_bound_data_downloader,01_data_analysis,agent-tracing (Type-3 audit),Type3ConsumerGate (agents.py) / trace_executor.execute_step
33,data_downloader,cd /lustre/work/sweeden/rogii && find data/train -name '*__horizontal_well.csv' | sort,01_data_analysis,— (infrastructure),— (shell; not in train_predict.py)
34,data_downloader,cd /lustre/work/sweeden/rogii && find data/train -name '*__horizontal_well.csv' | wc -l,01_data_analysis,— (infrastructure),— (shell; not in train_predict.py)
35,schema-sentinel,register_schema,01_data_analysis,pedregosa2011_sklearn,infer_columns (+ SchemaSentinel.register_schema in agents.py)
36,schema-sentinel,validate_xyz_gr_columns,01_data_analysis,—,—
37,schema-sentinel,load_sample_submission,01_data_analysis,pedregosa2011_sklearn,infer_columns
38,schema-sentinel,infer_target_columns,01_data_analysis,pedregosa2011_sklearn,infer_columns
39,eda_profiler,compute_summary_stats,01_data_analysis,— (competition shared / EDA),— (EDA only)
